playlist_index,artist_name,artist_uri,album_name,album_uri,track_name,track_uri,duration_ms_x,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
49,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,The Time Of Our Lives (International Version),spotify:album:0IuHVgAvbNDJnJepuSZ8Oz,The Climb,spotify:track:5x5JM1BSB6vollcIzDocqT,234520,2009-01-01,72,0.336,0.602,4,-6.354,1,0.0325,0.0635,0.0,0.141,0.299,161.01,audio_features,5x5JM1BSB6vollcIzDocqT,https://api.spotify.com/v1/tracks/5x5JM1BSB6vollcIzDocqT,https://api.spotify.com/v1/audio-analysis/5x5JM1BSB6vollcIzDocqT,234520,4
50,Nickelback,spotify:artist:6deZN1bslXzeGvOLaLMOIF,All the Right Reasons,spotify:album:3eZd2XbhLyPcgbgcsLTZh3,Far Away,spotify:track:0ADZ5dmXhlfzjMw6lefoPl,238173,2005-09-26,69,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,audio_features,0ADZ5dmXhlfzjMw6lefoPl,https://api.spotify.com/v1/tracks/0ADZ5dmXhlfzjMw6lefoPl,https://api.spotify.com/v1/audio-analysis/0ADZ5dmXhlfzjMw6lefoPl,238173,4
51,James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,YOU,spotify:album:0cm9LOQUBK3JUgyoRj238z,Naked,spotify:track:2fmyrECK6bdfoGven0UMZx,233400,2019-10-18,68,0.525,0.61,6,-6.793,1,0.0404,0.084,0.0,0.0572,0.293,101.875,audio_features,2fmyrECK6bdfoGven0UMZx,https://api.spotify.com/v1/tracks/2fmyrECK6bdfoGven0UMZx,https://api.spotify.com/v1/audio-analysis/2fmyrECK6bdfoGven0UMZx,233400,4
52,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,When I Look At You,spotify:album:20luXQ6bzvXEI7VKHZO3lq,When I Look At You,spotify:track:71Uqwm5XGcqnWOg6MS4Wi3,223853,2010-01-01,36,0.426,0.562,6,-5.499,1,0.0289,0.128,0.0,0.113,0.276,139.058,audio_features,71Uqwm5XGcqnWOg6MS4Wi3,https://api.spotify.com/v1/tracks/71Uqwm5XGcqnWOg6MS4Wi3,https://api.spotify.com/v1/audio-analysis/71Uqwm5XGcqnWOg6MS4Wi3,223853,3
53,Evanescence,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,Fallen,spotify:album:02w1xMzzdF2OJxTeh1basm,My Immortal,spotify:track:4UzVcXufOhGUwF56HT7b8M,262533,2003-03-04,73,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012,audio_features,4UzVcXufOhGUwF56HT7b8M,https://api.spotify.com/v1/tracks/4UzVcXufOhGUwF56HT7b8M,https://api.spotify.com/v1/audio-analysis/4UzVcXufOhGUwF56HT7b8M,262533,4
54,Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Let Go,spotify:album:3zXjR3y2dUWklKmmp6lEhy,I'm with You,spotify:track:1jlG3KJ3gdYmhfuySFfpO1,223066,2002-06-04,71,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,audio_features,1jlG3KJ3gdYmhfuySFfpO1,https://api.spotify.com/v1/tracks/1jlG3KJ3gdYmhfuySFfpO1,https://api.spotify.com/v1/audio-analysis/1jlG3KJ3gdYmhfuySFfpO1,223067,3
55,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,Vault Volume 1,spotify:album:0dICqPiSgbmRRRqWAT0XKk,No One - Acoustic,spotify:track:73E08jF1urQQSO0oTzCPpP,259569,2017-04-07,51,0.38,0.325,4,-5.862,1,0.0328,0.712,0.0,0.0997,0.429,89.898,audio_features,73E08jF1urQQSO0oTzCPpP,https://api.spotify.com/v1/tracks/73E08jF1urQQSO0oTzCPpP,https://api.spotify.com/v1/audio-analysis/73E08jF1urQQSO0oTzCPpP,259570,4
56,Backstreet Boys,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,Never Gone,spotify:album:1Wz9PANLXjaOskUv575hRV,Incomplete,spotify:track:0CnD7Hiw6pae6rLsZw5q5W,239586,2005-06-14,63,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631,audio_features,0CnD7Hiw6pae6rLsZw5q5W,https://api.spotify.com/v1/tracks/0CnD7Hiw6pae6rLsZw5q5W,https://api.spotify.com/v1/audio-analysis/0CnD7Hiw6pae6rLsZw5q5W,239587,4
57,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Believe Acoustic,spotify:album:4yz9rO7Q1UC2rK5eLOxmS7,As Long As You Love Me - Acoustic Version,spotify:track:1kN9UiyOSRVCrSc49ft0lp,221693,2013-01-01,50,0.549,0.307,11,-9.171,0,0.0351,0.776,0.0,0.0871,0.428,135.57,audio_features,1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/tracks/1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/audio-analysis/1kN9UiyOSRVCrSc49ft0lp,221693,4
58,"High School Musical Cast, Vanessa Hudgens, Zac Efron, Disney","spotify:artist:2gUMs9PE8XZVQyzCDqaYmW, spotify:artist:6G9bygHlCyPgNGxK2l3YdE, spotify:artist:6U1dBXJhC8gXFjamvFTmHg, spotify:artist:3xvaSlT4xsyk6lY1ESOspO",High School Musical 3: Senior Year,spotify:album:6j8k5gIeWzXapGKTVaZzER,Can I Have This Dance,spotify:track:6YXG34IWbilypPwjBTOrUC,243773,2008-01-01,63,0.555,0.619,0,-5.246,1,0.0296,0.203,0.0,0.265,0.426,136.069,audio_features,6YXG34IWbilypPwjBTOrUC,https://api.spotify.com/v1/tracks/6YXG34IWbilypPwjBTOrUC,https://api.spotify.com/v1/audio-analysis/6YXG34IWbilypPwjBTOrUC,243773,3
